Sold,,,,,,,,,,,
Address,Total $ Invested,Sales Price,Gross Profit,Sale Date,Size (Single/Double),Year Built,Must Move (Yes/No),Bedrooms/Bathrooms,Windzone 1 or 2,Move in ready?,Rating
"1129 Longpoint Rd. Cross, SC 29436","$6,000","$16,000","$10,000",7/7/2025,Single,2001,Yes,3/2,2,No,5/10
"189 Burbank Rd. Cross, SC","$2,000","$8,000","$6,000",7/8/2025,Double,1985,Yes,3/1,2,Yes ,5/10
"244 Sedgewick Rd. Summerville, SC","$55,000","$55,000",$0,7/22/2025,Double,1997,No,4/2,2,Yes,8/10
116 Head Ln. Walterboro SC 29488,$800,"$6,000","$5,200",8/15/2025,Single,1998,Yes,3/2,2,No,4/10
4895 Filly Ct. North Charleston SC 29420,"$11,000","$24,000","$13,000",8/18/2025,Single,1997,No,3/2,2,Yes,6/10
8402 W Bluegrass Dr. North Charleston SC,"$37,000","$47,000","$10,000",9/2/2025,Double,1997,No,4/2,2,Yes,7/10
"268 Fort Johnson Rd. Summerville, SC 29483","$37,000","$50,000","$13,000",9/6/2025,Single,2014,No,3/2,2,Yes,10/10
"136 Wynette Ave, Taylors SC ","$1,500","$5,500","$4,000",9/16/2025,Single,2003,Yes,2/2,1,,
"110 Spinnaker Dr. Winnsboro, SC","$1,500","$7,500","$6,000",9/18/2025,Single,,,,1,,
"9401 Wilson Blvd. Lot 345 Columbia, SC","$9,750","$22,500","$12,750",10/2/2025,Double,2001,Yes,3/2,2,Yes,7/10
"1571 7 Mile Rd. Harleyville, SC 29448","$9,000","$11,500","$2,500",10/2/2025,Single,1988,Yes,2/2,2,Yes,7/10
"18B Somerset, Sumter","$1,500","$10,500","$9,000",10/6/2025,Single,1991,No,3/2,2,Yes,5/10
"311 Bluepoint St. Goose Creek, SC 29486","$11,000","$21,000","$10,000",10/17/2025,Single,1992,No,3/2,2,Yes,7/10
"1363 Counts Rd. Prosperity, SC 29127","$13,500","$29,000","$15,500",11/12/2025,Double,2015,Yes,3/2,1,No,5/10
"237 Mizzen Dr. Winnsboro, SC 29180","$3,500","$10,000","$6,500",11/18/2025,,,,,,,
"1879 Woodland Rd. Charleston, SC 29414","$23,775","$45,000","$21,225",12/5/2025,Double,2004,No,3/2,2,Yes,6/10
"348 Vicksburg Dr. Goose Creek, SC 29486","$28,700","$35,000","$6,300",12/11/2025,Single,1997,No,3/2,2,Yes,8/10
"710 Ivybush Trl, Camden, SC 29020","$4,125","$16,000","$11,875",12/15/2025,Double,1997,yes,4/2,2,,
"7251 SC-162 Hollywood, SC 29449","$5,000","$10,000","$5,000.00",1/5/2026,Single,2005,yes,3/2,2,Yes,6/10
"2041 Covey Ln. Charleston, SC 29414","$5,000","$10,000","$5,000.00",1/5/2026,Double,1990,yes,3/2,2,Yes,7/10
"918 Mars Old Field Ln. Cottageville, SC 29435","$12,500","$20,000","$7,500.00",1/20/2026,Double,1998,yes,2/2,2,Yes,6/10
"100 Flintlock Ave. Goose Creek, SC 29486","$61,000","$50,000","-$11,000.00",2/9/2026,Double,2005,No,3/2,2,yes,9/10
"103 Ruston Ln. Smoaks, SC 29481","$13,000","$20,500","$7,500.00",2/10/2026,Double,2000,Yes,3/2,2,yes,5/10
"9919 Hwy 78 Lot 182, Ladson, SC 29456","$11,900","$27,900","$16,000.00",2/11/2026,Single,2000,No,3/2,2,yes,8/10
"263 Bayboro Circle, Goose Creek, SC 29445","$21,000","$36,000","$15,000.00",2/23/2026,Single,2013,No,3/2,2,Yes,9/10
"1925 Bacons Bridge Rd. Lot 321, Summerville, SC 29485","$32,742","$54,000","$21,250.00",3/6/2026,Single,2017,No,3/2,2,yes,10/10
"1362 Trailmore Dr. Lot C, Charleston, SC 29407","$22,500","$45,500","$23,000.00",3/17/2026,Single,1993,No,3/2,2,Yes,8/10
"218 Power House Rd. Moncks Corner, SC 29461","$7,050","$13,500","$6,450.00",3/19/2026,Single,1998,Yes,3/2,2,No,5/10
"176 Albacore Rd. Bonneau, SC 29431","$20,550","$30,000","$9,450.00",4/1/2026,Double,1999,Yes,3/2,2,Yes,7/10
"1129 Joe Bryant Ct. Mount Pleasant, SC ","$8,000","$18,000","$10,000.00",4/24/2026,Double,1997,Yes,3/2,2,Yes,7/10
"808 Wesley Chapel Ave, Cottageville, SC 29435","$17,750","$28,500","$10,750.00",4/24/2026,Double,2002,Yes,3/2,2,Yes,6/10
"1470 Cooper Store Rd. Moncks Corner, SC 29461","$20,000","$37,500","$17,500.00",4/24/2026,Double,1999,Yes,3/2,2,Yes,8/10
"1004 Impala Dr. Hanahan, SC ","$4,500","$8,500","$4,000.00",4/24/2026,Single,2006,No,1/1,2,No,1/10
"336 Smoak Rd. Dorchester, SC 29437","$12,000","$20,000","$8,000.00",5/18/2026,Single,2002,Yes,3/2,2,Yes,7/10
"226 Yvonne Circle, Ladson, SC 29456","$11,500","$24,000","$12,500.00",6/20/2026,Single,1993,Yes,3/2,2,Yes,7/10
"1245 Black Tom Rd. Moncks Corner, SC 29461","$6,000","$16,000","$10,000.00",7/1/2026,Double,1990,Yes,4/2,2,Yes,7/10
"15 Elliot Dr, Yemassee, SC 29945","$11,000","$26,000","$15,000.00",7/22/2026,Double,1997,Yes,3/2,2,Yes,7/10
"1925 Bacons Bridge Rd. Lot 167, Summerville, SC 29485","$36,000","$45,000","$9,000.00",7/25/2026,Single,2012,No,3/2,2,Yes,8/10
"755 Kennedyville Rd. Kingstree, SC","$1,000","$3,000","$2,000.00",7/27/2026,Single,1995,Yes,3/2,2,No,4/10
"521 Sweet Bay Ln. Moncks Corner, SC 2961","$16,000","$18,000","$2,000.00",7/28/2026,Single,1990,Yes,3/2,2,Yes,7/10
"149 Cavalier Dr. Orangeburg, SC 29115","$9,000","$16,500","$7,000.00",7/31/2026,Double,2002,Yes,3/2,2,No,4/10
